IDfg,Season,Name,Team,Age,AB,PA,BIP,H,1B,2B,3B,HR,BB,SO,HBP,SF,GDP,AVG,GB,FB,LD,IFFB,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,F-Strike%,SwStr%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CSW%
15640,2024,Aaron Judge,NYY,32,559,704,332,180,85,36,1,58,133,171,9,2,22,0.322,119,180,91,10,10,0,0,0.18899999999999997,0.243,0.78,0.458,0.701,1.159,0.379,0.367,0.0066,0.233,0.305,0.462,0.055999999999999994,0.322,0.084,0.0,0.476,0.213,0.7190000000000001,0.42,0.489,0.807,0.7120000000000001,0.518,0.121,0.4,0.349,0.251,0.07200000000000001,0.451,0.47700000000000004,96.2,18.9,105.0,0.26899999999999996,117.5,239.0,0.611,391,0.267
25764,2024,Bobby Witt Jr.,KCR,24,636,709,506,211,123,45,11,32,57,106,8,8,4,0.332,199,239,100,26,21,0,0,0.08,0.15,0.54,0.389,0.588,0.977,0.256,0.354,0.0083,0.18600000000000003,0.37,0.444,0.109,0.134,0.106,0.0,0.41,0.354,0.748,0.512,0.7,0.884,0.8079999999999999,0.615,0.098,0.35100000000000003,0.385,0.264,0.147,0.5,0.353,92.7,15.1,77.0,0.14300000000000002,116.9,260.0,0.483,538,0.23600000000000002
19755,2024,Shohei Ohtani,LAD,29,636,731,425,197,98,38,7,54,81,162,6,5,7,0.31,172,193,113,10,10,1,0,0.111,0.222,0.5,0.39,0.646,1.036,0.336,0.336,0.0089,0.23600000000000002,0.36,0.40399999999999997,0.052000000000000005,0.28,0.057999999999999996,0.0,0.431,0.305,0.705,0.47200000000000003,0.594,0.82,0.735,0.602,0.125,0.424,0.34700000000000003,0.23,0.106,0.451,0.44299999999999995,95.8,16.2,103.0,0.214,119.2,288.0,0.598,482,0.26899999999999996
20123,2024,Juan Soto,NYY,25,576,713,420,166,90,31,4,41,129,119,4,4,10,0.288,199,164,93,14,6,5,4,0.18100000000000002,0.16699999999999998,1.08,0.419,0.569,0.989,0.281,0.298,0.0121,0.204,0.436,0.36,0.085,0.25,0.03,0.8,0.421,0.213,0.601,0.369,0.674,0.8640000000000001,0.799,0.541,0.07400000000000001,0.451,0.34700000000000003,0.20199999999999999,0.126,0.445,0.43,94.2,10.7,91.0,0.19699999999999998,115.7,262.0,0.568,461,0.263
26289,2024,Gunnar Henderson,BAL,23,630,719,438,177,102,31,7,37,78,159,7,4,2,0.281,222,155,98,12,18,0,0,0.10800000000000001,0.221,0.49,0.364,0.529,0.893,0.248,0.32,0.0143,0.20600000000000002,0.467,0.326,0.077,0.239,0.081,0.0,0.381,0.262,0.6859999999999999,0.442,0.623,0.858,0.778,0.556,0.098,0.392,0.377,0.23199999999999998,0.135,0.43200000000000005,0.434,92.8,9.2,53.0,0.11199999999999999,113.1,256.0,0.539,475,0.265
12916,2024,Francisco Lindor,NYM,30,618,689,461,169,96,39,1,33,56,127,12,3,7,0.273,170,213,110,16,13,1,1,0.081,0.184,0.44,0.344,0.5,0.844,0.227,0.295,0.008,0.223,0.345,0.43200000000000005,0.075,0.155,0.076,1.0,0.363,0.305,0.715,0.485,0.662,0.8540000000000001,0.7859999999999999,0.602,0.10300000000000001,0.45299999999999996,0.34,0.20600000000000002,0.12300000000000001,0.51,0.366,90.9,17.0,67.0,0.136,112.7,234.0,0.474,494,0.256
24617,2024,Jarren Duran,BOS,27,671,735,493,191,108,48,14,21,54,160,6,3,6,0.285,237,179,93,15,20,6,1,0.073,0.218,0.34,0.342,0.492,0.834,0.207,0.345,0.0132,0.183,0.466,0.35200000000000004,0.084,0.11699999999999999,0.084,0.16699999999999998,0.357,0.312,0.708,0.48200000000000004,0.602,0.887,0.7809999999999999,0.585,0.105,0.322,0.381,0.297,0.159,0.501,0.34,90.8,9.5,48.0,0.09300000000000001,113.9,226.0,0.439,515,0.266
26668,2024,Elly De La Cruz,CIN,22,618,696,376,160,89,36,10,25,69,218,6,1,12,0.259,184,131,82,7,14,6,2,0.099,0.313,0.32,0.339,0.471,0.809,0.212,0.359,0.013999999999999999,0.207,0.46299999999999997,0.33,0.053,0.191,0.076,0.33299999999999996,0.349,0.297,0.624,0.429,0.498,0.805,0.679,0.619,0.138,0.439,0.342,0.218,0.094,0.536,0.37,91.8,9.7,51.0,0.127,114.7,184.0,0.457,403,0.324
13510,2024,Jose Ramirez,CLE,31,620,682,505,173,93,39,2,39,54,82,1,6,9,0.279,186,266,92,29,16,0,0,0.079,0.12,0.66,0.335,0.537,0.872,0.258,0.265,0.006999999999999999,0.16899999999999998,0.342,0.489,0.109,0.147,0.086,0.0,0.364,0.348,0.706,0.494,0.7829999999999999,0.922,0.8640000000000001,0.545,0.067,0.528,0.278,0.195,0.162,0.489,0.349,89.2,19.6,47.0,0.086,116.6,216.0,0.396,545,0.217
13613,2024,Ketel Marte,ARI,30,504,583,371,147,86,23,2,36,65,106,5,9,9,0.292,195,140,70,11,10,2,2,0.111,0.182,0.61,0.372,0.56,0.932,0.268,0.299,0.0139,0.17300000000000001,0.48100000000000004,0.34600000000000003,0.079,0.257,0.051,1.0,0.391,0.293,0.733,0.48100000000000004,0.674,0.88,0.8079999999999999,0.581,0.092,0.518,0.31,0.172,0.10800000000000001,0.462,0.43,94.1,9.4,50.0,0.12300000000000001,117.0,218.0,0.536,407,0.228
